 SAMPLE,  P POTENTIAL,  P TAIL,  P DYNAMIC,  P
           1   3.9290780747386260      -0.65261618244739072        1.5623862037982730        4.8388480960895084     
           2   3.7426086171613675      -0.65261618244739072        1.5623862037982730        4.6523786385122499     
           3   3.9788673773079353      -0.65261618244739072        1.5623862037982730        4.8886373986588172     
           4   3.8312694173629649      -0.64929474481774097        1.5584053126994695        4.7403799852446937     
           5   3.6733210732555279      -0.63717529597724987        1.5437925501342682        4.5799383274125463     
           6   4.0210832290308876      -0.64883464623729670        1.5578530618570883        4.9301016446506791     
           7   3.2006189775154064      -0.63118209454421015        1.5365150245114427        4.1059519074826394     
           8   3.2412823212758028      -0.63118209454421015        1.5365150245114427        4.1466152512430359     
           9   3.5244235884562682      -0.64306215107383025        1.5509076943796090        4.4322691317620464     
          10   4.2331316223516984      -0.65644127619287662        1.5669582190490443        5.1436485652078661     
          11   4.2072225151085112      -0.65644127619287662        1.5669582190490443        5.1177394579646789     
          12   4.5990455163288324      -0.67367733797906904        1.5873965981893428        5.5127647765391057     
          13   3.7575593551258630      -0.65635774197382168        1.5668585156937551        4.6680601288457968     
          14   3.5943717563386093      -0.65635774197382168        1.5668585156937551        4.5048725300585426     
          15   4.3740654706463120      -0.67161055947493087        1.5849597362504695        5.2874146474218513     
          16   4.1946024447353851      -0.67161055947493087        1.5849597362504695        5.1079516215109244     
          17   4.0373960533490036      -0.67161055947493087        1.5849597362504695        4.9507452301245429     
          18   3.5389841299370826      -0.67161055947493087        1.5849597362504695        4.4523333067126210     
          19   3.7998281077111353      -0.67161055947493087        1.5849597362504695        4.7131772844866742     
          20   3.7942624186405260      -0.67161055947493087        1.5849597362504695        4.7076115954160649     
          21   3.9501448185166339      -0.67161055947493087        1.5849597362504695        4.8634939952921723     
          22   4.3876350994400024      -0.68060535375940590        1.5955380171297906        5.3025677628103871     
          23   4.3298343599779967      -0.68060535375940590        1.5955380171297906        5.2447670233483814     
          24   4.1015361986123091      -0.68060535375940590        1.5955380171297906        5.0164688619826938     
          25   4.8005183222009329      -0.69385600014136883        1.6109948432560155        5.7176571653155790     
          26   5.0034789341821355      -0.69718224439045695        1.6148516634302641        5.9211483532219429     
          27   4.6747953690753521      -0.69592740593997127        1.6133977461784350        5.5922657093138159     
          28   4.8056415423635030      -0.69592740593997127        1.6133977461784350        5.7231118826019660     
          29   4.7713635741646669      -0.69592740593997127        1.6133977461784350        5.6888339144031299     
          30   4.6754474812614939      -0.69592740593997127        1.6133977461784350        5.5929178214999578     
          31   4.1498312749447024      -0.67929276501266811        1.5939987286503419        5.0645372385823766     
          32   3.7860925308205466      -0.67445377748134483        1.5883111031225712        4.6999498564617728     
          33   4.2404004532257167      -0.68670704076037037        1.6026741283461274        5.1563675408114733     
          34   3.8031228224660087      -0.67552898215194646        1.5895766304973928        4.7171704708114550     
          35   3.9993586887292620      -0.67665376355229967        1.5908994328147827        4.9136043579917450     
          36   4.2694905330783781      -0.67823908283371526        1.5927619865859519        5.1840134368306146     
          37   4.0418641625776264      -0.67823908283371526        1.5927619865859519        4.9563870663298628     
          38   4.3831745978700658      -0.67823908283371526        1.5927619865859519        5.2976975016223022     
          39   4.1681234124178346      -0.65996822095789887        1.5711620769047789        5.0793172683647150     
          40   4.1968409904037882      -0.65996822095789887        1.5711620769047789        5.1080348463506686     
          41   4.0426777901185371      -0.65380644299466906        1.5638103176655034        4.9526816647893721     
          42   4.4239506807379687      -0.66228976608700973        1.5739230595487288        5.3355839741996878     
          43   4.0757953339348880      -0.65332633580474408        1.5632360387881212        4.9857050369182652     
          44   3.9329039893053626      -0.65565550429289665        1.5660200997793676        4.8432685847918338     
          45   4.3103814581141711      -0.66195489485224890        1.5735251006595243        5.2219516639214465     
          46   5.0311151796998139      -0.68030986790555747        1.5951916268957160        5.9459969386899729     
          47   4.8509984734811766      -0.68030986790555747        1.5951916268957160        5.7658802324713356     
          48   4.6003025432124574      -0.68030986790555747        1.5951916268957160        5.5151843022026164     
          49   3.6150902225234067      -0.65053277198909309        1.5598903311195988        4.5244477816539126     
          50   3.8429852606874197      -0.65053277198909309        1.5598903311195988        4.7523428198179252     
          51   4.2696595333347025      -0.66220141699853341        1.5738180758146241        5.1812761921507935     
          52   5.0067761360869465      -0.67661236036071459        1.5908507599741231        5.9210145357003556     
          53   5.0124139438964885      -0.67940683714012506        1.5941325613676434        5.9271396681240063     
          54   4.9844746759341962      -0.67940683714012506        1.5941325613676434        5.8992004001617140     
          55   4.2004965819605884      -0.65601020438409186        1.5664436395528667        5.1109300171293626     
          56   4.2634078291400188      -0.65601020438409186        1.5664436395528667        5.1738412643087930     
          57   4.0837281809648509      -0.65024574100312027        1.5595461622490618        4.9930286022107921     
          58   3.5945579046328255      -0.64873651515923125        1.5577352509618256        4.5035566404354199     
          59   4.1445065172746585      -0.66270514023019123        1.5744165478228163        5.0562179248672834     
          60   3.8436460386276683      -0.66270514023019123        1.5744165478228163        4.7553574462202928     
          61   3.9132633813682380      -0.66224505440900205        1.5738699302898906        4.8248882572491265     
          62   4.2403962624114868      -0.66224505440900205        1.5738699302898906        5.1520211382923753     
          63   3.9557448641566464      -0.65563967302746162        1.5660011933343130        4.8661063844634977     
          64   3.6999517110761149      -0.64298758032482684        1.5508177686226470        4.6077818993739346     
          65   4.2762972986433887      -0.65534642446550428        1.5656509407656094        5.1866018149434936     
          66   4.1019123196549119      -0.65534642446550428        1.5656509407656094        5.0122168359550168     
          67   3.6023413828304727      -0.63822077889579254        1.5450585653295705        4.5091791692642511     
          68   3.5580210465051336      -0.63412522029329399        1.5400931501098243        4.4639889763216640     
          69   4.4060955708884100      -0.65257537296771306        1.5623373533663167        5.3158575512870136     
          70   3.6533280510785149      -0.63638419872431518        1.5428338898034495        4.5597777421576495     
          71   4.1637110788508407      -0.65012446915924738        1.5594007265731229        5.0729873362647160     
          72   3.8903929081259698      -0.64354355550130538        1.5514881002941703        4.7983374529188350     
          73   4.2245509931520440      -0.64987081248532441        1.5590964840697894        5.1337766647365086     
          74   3.4122176308061074      -0.63449729569670055        1.5405449116305974        4.3182652467400047     
          75   3.3000887635985103      -0.63449729569670055        1.5405449116305974        4.2061363795324072     
          76   2.9538706059823516      -0.63083000867801364        1.5360864154839358        3.8591270127882740     
          77   2.9952457274831752      -0.62581663033329371        1.5299703907074991        3.8993994878573801     
          78   2.8503018173916792      -0.62161429650110445        1.5248248929821899        3.7535124138727651     
          79   4.1288734825169549      -0.65881024738760829        1.5697830992038144        5.0398463343331610     
          80   4.1926739445146239      -0.65031081077671293        1.5596241918082474        5.1019873255461583     
          81   3.7878311575117425      -0.65031081077671293        1.5596241918082474        4.6971445385432773     
          82   3.5115851795144319      -0.64528901201445865        1.5535906940007065        4.4198868615006797     
          83   3.8683087928652951      -0.64589947985161500        1.5543253980864302        4.7767347111001106     
          84   4.0912682808431153      -0.64589947985161500        1.5543253980864302        4.9996941990779309     
          85   3.9265736344620863      -0.64527284638152660        1.5535712337792300        4.8348720218597894     
          86   4.3784775021055253      -0.64527284638152660        1.5535712337792300        5.2867758895032289     
          87   4.3577880844404833      -0.64527284638152660        1.5535712337792300        5.2660864718381868     
          88   3.7023491066234437      -0.64527284638152660        1.5535712337792300        4.6106474940211477     
          89   3.7641156301353758      -0.64527284638152660        1.5535712337792300        4.6724140175330788     
          90   3.9036306407512047      -0.64252570609703319        1.5502606727638193        4.8113656074179909     
          91   3.6563405156079583      -0.64252570609703319        1.5502606727638193        4.5640754822747445     
          92   4.2527107769850785      -0.66617013694869376        1.5785271511004164        5.1650677911368010     
          93   3.5616252316898853      -0.65263945721144012        1.5624140638537010        4.4713998383321467     
          94   3.9474114646380629      -0.65263945721144012        1.5624140638537010        4.8571860712803243     
          95   4.5066799991976358      -0.66796620603346357        1.5806536614797382        5.4193674546439103     
          96   4.4633078029986626      -0.66494459521918992        1.5770744880742356        5.3754376958537087     
          97   4.0861392192405699      -0.64917071610694399        1.5582564617849115        4.9952249649185374     
          98   3.8534789849324391      -0.64825503323569933        1.5571570805007788        4.7623810321975188     
          99   3.8330994687982969      -0.65188455862639050        1.5615101915719272        4.7427251017438339     
         100   3.9824057228332372      -0.65188455862639050        1.5615101915719272        4.8920313557787738     
         101   4.1489587061783046      -0.65188455862639050        1.5615101915719272        5.0585843391238416     
         102   4.1291941067526494      -0.65188455862639050        1.5615101915719272        5.0388197396981864     
         103   3.8324861960100995      -0.64512880160013641        1.5533978216170303        4.7407552160269937     
         104   4.7468895787333114      -0.67090050434963744        1.5841216714054265        5.6601107457891011     
         105   4.4771424506643029      -0.67090050434963744        1.5841216714054265        5.3903636177200926     
         106   4.1551194704580601      -0.67090050434963744        1.5841216714054265        5.0683406375138489     
         107   4.1236256675504741      -0.67159496190295964        1.5849413314869167        5.0369720371344311     
         108   3.3763351005873625      -0.65444724814208688        1.5645764865290293        4.2864643389743051     
         109   3.4923252719510098      -0.65444724814208688        1.5645764865290293        4.4024545103379520     
         110   4.3405889232969344      -0.67787283841822332        1.5923318882852588        5.2550479731639701     
         111   4.0306322407212081      -0.66968518576412872        1.5826862237086445        4.9436332786657236     
         112   3.7151797791995365      -0.66968518576412872        1.5826862237086445        4.6281808171440524     
         113   4.3057277345071476      -0.68525414696645592        1.6009778094688405        5.2214513970095320     
         114   3.5624686915354955      -0.67142993301270915        1.5847465882309331        4.4757853467537192     
         115   4.4393844777227285      -0.68238614569318656        1.5976240021106556        5.3546223341401973     
         116   4.6321748081141916      -0.68480878166345505        1.6004574654032131        5.5478234918539497     
         117   4.3840545554147958      -0.68480878166345505        1.6004574654032131        5.2997032391545540     
         118   3.6690798286059811      -0.66818798952482206        1.5809160503477382        4.5818078894288972     
         119   3.6466367514690554      -0.66818798952482206        1.5809160503477382        4.5593648122919710     
         120   3.5586544600338117      -0.66818798952482206        1.5809160503477382        4.4713825208567277     
         121   3.8839952097066437      -0.66678441115751974        1.5792547618400168        4.7964655603891408     
         122   4.5645516918424649      -0.68014908014800624        1.5950031080653202        5.4794057197597787     
         123   3.8044177995541273      -0.66464312980918772        1.5767169490330084        4.7164916187779475     
         124   4.4785625971899403      -0.67866778494847624        1.5932652844523327        5.3931600966937969     
         125   4.3602669387153430      -0.67866778494847624        1.5932652844523327        5.2748644382191996     
         126   3.9785333470530015      -0.67166905457253712        1.5850287571693020        4.8918930496497666     
         127   4.2247849857659183      -0.67551606135464948        1.5895614285621802        5.1388303529734491     
         128   4.4241355629857315      -0.67551606135464948        1.5895614285621802        5.3381809301932623     
         129   4.2596328341462160      -0.66451274224545165        1.5765622838027737        5.1716823757035382     
         130   3.6692946468811662      -0.64899771471035017        1.5580488133956831        4.5783457455664998     
         131   3.5987643581620330      -0.64448054285535705        1.5526171582680950        4.5069009735747709     
         132   3.5788730592447244      -0.64448054285535705        1.5526171582680950        4.4870096746574628     
         133   3.7315942036951002      -0.64448054285535705        1.5526171582680950        4.6397308191078386     
         134   4.7797370820749032      -0.66776779270617614        1.5804188845983695        5.6923881739670970     
         135   3.5291021849179263      -0.64470785624228599        1.5528909443070138        4.4372852729826544     
         136   4.3166434067399146      -0.66611009579958502        1.5784560140781927        5.2289893250185226     
         137   4.2781104949348361      -0.66102185095326393        1.5724157458323542        5.1895043898139264     
         138   4.0112807924245297      -0.65869893150059522        1.5696504743845014        4.9222323353084363     
         139   4.1725766101769493      -0.66523543029797427        1.5774193427011145        5.0847605225800896     
         140   3.7821081254891857      -0.65127945504633056        1.5607852972914180        4.6916139677342734     
         141   4.3438547775358494      -0.66140202426790473        1.5728678523536137        5.2553206056215584     
         142   4.3906094804222118      -0.66140202426790473        1.5728678523536137        5.3020753085079209     
         143   4.2089399191070660      -0.66140202426790473        1.5728678523536137        5.1204057471927751     
         144   4.2809235028433577      -0.66140202426790473        1.5728678523536137        5.1923893309290667     
         145   4.2950568282101527      -0.66053113661097063        1.5718319903841858        5.2063576819833681     
         146   4.1947917175207454      -0.66053113661097063        1.5718319903841858        5.1060925712939600     
         147   4.1040207652827654      -0.66053113661097063        1.5718319903841858        5.0153216190559800     
         148   4.0754154622862968      -0.66053113661097063        1.5718319903841858        4.9867163160595123     
         149   3.8051720238439053      -0.64991997986910344        1.5591554613648577        4.7144075053396595     
         150   3.2926210521048458      -0.64991997986910344        1.5591554613648577        4.2018565336006004     
         151   3.4274948295021983      -0.65198053888401786        1.5616251418589187        4.3371394324770991     
         152   4.2483955215546789      -0.67459508171125171        1.5884774772542787        5.1622779170977058     
         153   3.3887253054321791      -0.65675820942218255        1.5673364411522359        4.2993035371622321     
         154   3.3675953822737945      -0.65675820942218255        1.5673364411522359        4.2781736140038475     
         155   3.3101812567639661      -0.65675820942218255        1.5673364411522359        4.2207594884940196     
         156   3.8037623292227130      -0.65675820942218255        1.5673364411522359        4.7143405609527660     
         157   3.4279132473101002      -0.64452117554306698        1.5526661015717300        4.3360581733387633     
         158   3.5052084179728182      -0.64452117554306698        1.5526661015717300        4.4133533440014814     
         159   4.1836702069358784      -0.66237164709351837        1.5740203511179476        5.0953189109603070     
         160   4.5276400851131653      -0.66237164709351837        1.5740203511179476        5.4392887891375938     
         161   4.3765259469558080      -0.66237164709351837        1.5740203511179476        5.2881746509802365     
         162   4.1842507826750861      -0.66237164709351837        1.5740203511179476        5.0958994866995155     
         163   3.7376114971296803      -0.66093566150674077        1.5723132302644753        4.6489890658874149     
         164   4.1271553336113644      -0.66093566150674077        1.5723132302644753        5.0385329023690986     
         165   3.3166176179179376      -0.64139960865561585        1.5489015752722750        4.2241195845345967     
         166   3.3734668182354439      -0.64405107336349932        1.5520997548860971        4.2815154997580418     
         167   3.5268932349608986      -0.64405107336349932        1.5520997548860971        4.4349419164834964     
         168   3.1916740672282802      -0.64405107336349932        1.5520997548860971        4.0997227487508781     
         169   3.0865033589832302      -0.64405107336349932        1.5520997548860971        3.9945520405058277     
         170   3.6290434244700736      -0.66281449135405335        1.5745464375029941        4.5407753706190146     
         171   3.9971193650001244      -0.66281449135405335        1.5745464375029941        4.9088513111490650     
         172   3.3973076760531811      -0.65351939866263120        1.5634669957446248        4.3072552731351745     
         173   3.5245161125185467      -0.65491072069215550        1.5651303966552432        4.4347357884816345     
         174   3.8265168991152412      -0.65491072069215550        1.5651303966552432        4.7367365750783286     
         175   3.4878997044270679      -0.65491072069215550        1.5651303966552432        4.3981193803901562     
         176   4.3666461748826535      -0.67569611111730332        1.5897732526076356        5.2807233163729856     
         177   4.4393269485503462      -0.67569611111730332        1.5897732526076356        5.3534040900406783     
         178   4.0869064123319889      -0.67569611111730332        1.5897732526076356        5.0009835538223211     
         179   3.2776984783255361      -0.65239348350265502        1.5621196064810305        4.1874246013039116     
         180   3.1441815364455983      -0.65239348350265502        1.5621196064810305        4.0539076594239738     
         181   3.0311750164888616      -0.65239348350265502        1.5621196064810305        3.9409011394672371     
         182   4.7082503453359674      -0.68984278568142920        1.6063291463415363        5.6247367059960744     
         183   4.5704708855930232      -0.68984278568142920        1.6063291463415363        5.4869572462531302     
         184   3.4023331532841348      -0.66692014737183258        1.5794154968174678        4.3148285027297701     
         185   3.8051534713183717      -0.67182109598128170        1.5852081434066192        4.7185405187437093     
         186   3.8677569816826600      -0.67182109598128170        1.5852081434066192        4.7811440291079972     
         187   4.5267922861869057      -0.68755040058247086        1.6036579658127372        5.4428998514171720     
         188   4.1795118922044745      -0.67153630069394754        1.5848721107435200        5.0928477022540468     
         189   4.0889499359804864      -0.66943698675372831        1.5823929086059050        5.0019058578326634     
         190   3.9187888513115099      -0.65975550082639445        1.5709088490003840        4.8299421994854992     
         191   3.9373575463196224      -0.65912858367553939        1.5701623120160990        4.8483912746601820     
         192   3.9447018942115801      -0.65912858367553939        1.5701623120160990        4.8557356225521398     
         193   3.8519010036879164      -0.65912858367553939        1.5701623120160990        4.7629347320284765     
         194   4.4039283254655119      -0.67256637512760575        1.5860871684254931        5.3174491187633990     
         195   4.7020619013664566      -0.67623960867526156        1.5904124927841485        5.6162347854753438     
         196   4.5672549172436980      -0.67623960867526156        1.5904124927841485        5.4814278013525852     
         197   3.6155779963742112      -0.65744990941648340        1.5681615860005378        4.5262896729582653     
         198   4.4005903210756383      -0.68431896852265817        1.5998849951417018        5.3161563476946814     
         199   4.4260128347529273      -0.68431896852265817        1.5998849951417018        5.3415788613719712     
