           1  0.15000000596046448     
           2  0.66206897127217257     
           3   1.1741379365838807     
           4   1.6862069018955888     
           5   2.1982758672072968     
           6   2.7103448325190049     
           7   3.2224137978307130     
           8   3.7344827631424211     
           9   4.2465517284541292     
          10   4.7586206937658373     
          11   5.2706896590775454     
          12   5.7827586243892535     
          13   6.2948275897009616     
          14   6.8068965550126697     
          15   7.3189655203243777     
          16   7.8310344856360867     
          17   8.3431034509477939     
          18   8.8551724162595029     
          19   9.3672413815712101     
          20   9.8793103468829191     
          21   10.391379312194626     
          22   10.903448277506335     
          23   11.415517242818042     
          24   11.927586208129751     
          25   12.439655173441459     
          26   12.951724138753168     
          27   13.463793104064875     
          28   13.975862069376584     
          29   14.487931034688291     
          30   15.000000000000000     
