 SAMPLE,  P POTENTIAL,  P TAIL,  P DYNAMIC,  P
           1   13.462052193690745       -1.0358025995342197        1.9683302841794026        14.394579878335929     
           2   13.837344472340304       -1.0375596825610756        1.9699990646320935        14.769783854411321     
           3   13.862099765361499       -1.0375596825610756        1.9699990646320935        14.794539147432516     
           4   13.128726362199931       -1.0285225827041140        1.9614009982630567        14.061604777758875     
           5   13.221767278744425       -1.0334194060389263        1.9660645951019611        14.154412467807461     
           6   11.826267715534733       -1.0096784161002803        1.9433499449429181        12.759939244377371     
           7   11.368549307734977       -1.0058218103205070        1.9396349476705870        12.302362445085057     
           8   11.636086837994549       -1.0058218103205070        1.9396349476705870        12.569899975344629     
           9   13.185964364672330       -1.0356817051501819        1.9682154133433871        14.118498072865535     
          10   13.506791739200478       -1.0433728549082533        1.9755100480021868        14.438928932294411     
          11   13.566535719876375       -1.0457836424808267        1.9777910097791997        14.498543087174749     
          12   12.348437186893637       -1.0284232371485378        1.9613062695810095        13.281320219326108     
          13   12.598579175096976       -1.0284232371485378        1.9613062695810095        13.531462207529447     
          14   12.859174478550784       -1.0318475642221452        1.9645688236211669        13.791895737949806     
          15   13.162537386665058       -1.0333478588116614        1.9659965351718045        14.095186063025201     
          16   13.509538808861699       -1.0438724628820535        1.9759829673639753        14.441649313343621     
          17   13.224550530317222       -1.0438724628820535        1.9759829673639753        14.156661034799145     
          18   13.350897510277134       -1.0438724628820535        1.9759829673639753        14.283008014759057     
          19   13.560284606113626       -1.0485544138263894        1.9804093246287293        14.492139516915966     
          20   13.497562713552316       -1.0485544138263894        1.9804093246287293        14.429417624354656     
          21   13.309787393498606       -1.0485544138263894        1.9804093246287293        14.241642304300946     
          22   13.370698765067889       -1.0571049765740310        1.9884676724927555        14.302061460986613     
          23   13.850186494067865       -1.0571049765740310        1.9884676724927555        14.781549189986588     
          24   15.078727060874169       -1.0687567604830392        1.9993964358770526        16.009366736268184     
          25   13.931216832561663       -1.0560459379207920        1.9874713703912705        14.862642265032141     
          26   14.246206563528292       -1.0629964472957709        1.9940010500260137        15.177211166258536     
          27   14.306194942163241       -1.0693837703094091        1.9999828449849382        15.236794016838770     
          28   14.073065354528485       -1.0693837703094091        1.9999828449849382        15.003664429204013     
          29   13.929504343097014       -1.0693837703094091        1.9999828449849382        14.860103417772542     
          30   13.974009018538394       -1.0693837703094091        1.9999828449849382        14.904608093213923     
          31   14.244851911389230       -1.0665673787655712        1.9973474728690161        15.175632005492675     
          32   14.251842274927046       -1.0609858362321676        1.9921143747859404        15.182970813480820     
          33   12.720398672522588       -1.0374702843133017        1.9699141932453132        13.652842581454600     
          34   13.178032898054020       -1.0374702843133017        1.9699141932453132        14.110476806986032     
          35   13.273722299931599       -1.0374702843133017        1.9699141932453132        14.206166208863610     
          36   12.983133165679483       -1.0264243711331313        1.9593993235406166        13.916108118086967     
          37   12.648399723104530       -1.0264243711331313        1.9593993235406166        13.581374675512015     
          38   12.956670584080273       -1.0264243711331313        1.9593993235406166        13.889645536487757     
          39   12.637296462228413       -1.0215356195239096        1.9547275473862196        13.570488390090723     
          40   12.415778774045901       -1.0215356195239096        1.9547275473862196        13.348970701908211     
          41   13.147406010368481       -1.0316180243009365        1.9643502971302920        14.080138283197837     
          42   13.466962892501346       -1.0348783088934081        1.9674518758304462        14.399536459438385     
          43   13.430459728334583       -1.0348783088934081        1.9674518758304462        14.363033295271622     
          44   11.995782346627811       -1.0131253653744057        1.9466643276155926        12.929321308869000     
          45   13.692904447548022       -1.0371521196185289        1.9696121097941872        14.625364437723681     
          46   13.620307645577741       -1.0371521196185289        1.9696121097941872        14.552767635753399     
          47   14.731806722747912       -1.0580746821877338        1.9893794959675157        15.663111536527694     
          48   14.444743873160048       -1.0580746821877338        1.9893794959675157        15.376048686939830     
          49   12.427023726655783       -1.0272373058551900        1.9601750984172255        13.359961519217819     
          50   12.308229444068044       -1.0258190381520249        1.9588214612097830        13.241231867125801     
          51   12.751428231940800       -1.0258190381520249        1.9588214612097830        13.684430654998557     
          52   12.641150662071590       -1.0258190381520249        1.9588214612097830        13.574153085129350     
          53   12.006636221315583       -1.0258190381520249        1.9588214612097830        12.939638644373343     
          54   12.425535968080895       -1.0286234251943525        1.9614971496341564        13.358409692520700     
          55   13.375813007921224       -1.0436492075575774        1.9757716521295416        14.307935452493188     
          56   14.156675351424019       -1.0548270014401016        1.9863240240762476        15.088172374060166     
          57   14.813603960298359       -1.0611237121731978        1.9922438089932797        15.744724057118441     
          58   12.345206647744849       -1.0270992524435916        1.9600433771729164        13.278150772474174     
          59   13.565909345365021       -1.0494267687457746        1.9812329636387220        14.497715540257968     
          60   12.970286808683582       -1.0382391938208733        1.9706440479847844        13.902691662847493     
          61   13.280598792474761       -1.0402256034221449        1.9725283130530209        14.212901502105636     
          62   13.242933110812263       -1.0438520301854071        1.9759636283836106        14.175044709010466     
          63   13.016184002672510       -1.0438520301854071        1.9759636283836106        13.948295600870713     
          64   13.015666317925250       -1.0434427682342231        1.9755762334332674        13.947799783124294     
          65   14.128149988311598       -1.0604515850083132        1.9916127547270879        15.059311158030374     
          66   14.734318818343624       -1.0673918774589473        1.9981193379546043        15.665046278839281     
          67   14.517400531261671       -1.0673918774589473        1.9981193379546043        15.448127991757328     
          68   12.949933809300676       -1.0451508213899463        1.9771925220949578        13.881975510005688     
          69   13.336136143170055       -1.0451508213899463        1.9771925220949578        14.268177843875067     
          70   13.805874066111567       -1.0451508213899463        1.9771925220949578        14.737915766816579     
          71   13.457061490510190       -1.0451508213899463        1.9771925220949578        14.389103191215202     
          72   12.969786085100157       -1.0451508213899463        1.9771925220949578        13.901827785805169     
          73   14.603220914706784       -1.0708637175246052        2.0013662798998109        15.533723477081990     
          74   13.571910154755349       -1.0642954563986837        1.9952190384183173        14.502833736774983     
          75   13.201245610141514       -1.0548446654916088        1.9863406554209779        14.132741600070883     
          76   14.821549249006244       -1.0755487402301049        2.0057394850087737        15.751739993784913     
          77   14.374010881336922       -1.0730414390458749        2.0034002477919839        15.304369690083030     
          78   14.286886790150314       -1.0730414390458749        2.0034002477919839        15.217245598896422     
          79   12.567278559456749       -1.0433710985586078        1.9755083852754749        13.499415846173617     
          80   13.342492378715386       -1.0566113701032682        1.9880033689766483        14.273884377588768     
          81   13.532280493555986       -1.0566113701032682        1.9880033689766483        14.463672492429367     
          82   13.480060888136707       -1.0566113701032682        1.9880033689766483        14.411452887010089     
          83   13.379851534163098       -1.0555922168896994        1.9870443745542716        14.311303691827669     
          84   13.924175460444307       -1.0587698115921977        1.9900328757114558        14.855438524563565     
          85   14.021994591979432       -1.0587698115921977        1.9900328757114558        14.953257656098691     
          86   14.017154183336157       -1.0587698115921977        1.9900328757114558        14.948417247455415     
          87   13.095454685150791       -1.0542176047682434        1.9857501697259239        14.026987250108471     
          88   13.171156245231142       -1.0542176047682434        1.9857501697259239        14.102688810188821     
          89   14.229219756458653       -1.0749273769187020        2.0051600259220255        15.159452405461977     
          90   14.638569121569304       -1.0749273769187020        2.0051600259220255        15.568801770572628     
          91   15.176585058238942       -1.0822633808655111        2.0119906500362470        16.106312327409679     
          92   14.919137893366972       -1.0822633808655111        2.0119906500362470        15.848865162537709     
          93   12.835823894340148       -1.0531792725723335        1.9847720148009289        13.767416636568743     
          94   13.447909042020218       -1.0644305197813140        1.9953456350704886        14.378824157309392     
          95   14.013110976986653       -1.0644305197813140        1.9953456350704886        14.944026092275827     
          96   12.105141657702379       -1.0376164199666200        1.9700529271277853        13.037578164863545     
          97   14.066316820804023       -1.0683068347224940        1.9989755381145078        14.996985524196036     
          98   13.397884365754820       -1.0540101343392874        1.9855547619138565        14.329428993329389     
          99   13.918089819601215       -1.0660683353910807        1.9968801420348095        14.848901626244944     
         100   13.776045040878918       -1.0660683353910807        1.9968801420348095        14.706856847522646     
         101   13.855867715531222       -1.0716559323400094        2.0021064389246130        14.786318222115826     
         102   14.044434233893258       -1.0729166851756378        2.0032837848156877        14.974801333533307     
         103   14.002817416681733       -1.0729166851756378        2.0032837848156877        14.933184516321782     
         104   14.075315133896577       -1.0729166851756378        2.0032837848156877        15.005682233536627     
         105   13.806580056737511       -1.0729166851756378        2.0032837848156877        14.736947156377560     
         106   13.933690052721484       -1.0729166851756378        2.0032837848156877        14.864057152361534     
         107   14.098357919888118       -1.0729166851756378        2.0032837848156877        15.028725019528167     
         108   14.394132417373985       -1.0735634271084700        2.0038874721566304        15.324456462422146     
         109   14.207717968954745       -1.0735634271084700        2.0038874721566304        15.138042014002906     
         110   14.133320503604740       -1.0735634271084700        2.0038874721566304        15.063644548652901     
         111   14.319519273791922       -1.0735634271084700        2.0038874721566304        15.249843318840083     
         112   14.464758230278008       -1.0735634271084700        2.0038874721566304        15.395082275326169     
         113   13.820275324785131       -1.0590769039363377        1.9903214556968727        14.751519876545665     
         114   13.828165495352824       -1.0590769039363377        1.9903214556968727        14.759410047113358     
         115   13.732753780676358       -1.0590769039363377        1.9903214556968727        14.663998332436892     
         116   13.807882003241936       -1.0590769039363377        1.9903214556968727        14.739126555002469     
         117   13.640111933707292       -1.0590769039363377        1.9903214556968727        14.571356485467826     
         118   12.185904826153878       -1.0396138428220665        1.9719482020794448        13.118239185411257     
         119   12.013053833626044       -1.0396138428220665        1.9719482020794448        12.945388192883422     
