 SAMPLE,  P POTENTIAL,  P TAIL,  P DYNAMIC,  P
           1   2.3908843785192233      -0.52358100571852828        1.3994307664794827        3.2667341392801776     
           2   1.6298800019960198      -0.50900265040263315        1.3798106668832806        2.5006880184766671     
           3   2.6327834153076672      -0.52593521691522671        1.4025734134291772        3.5094216118216179     
           4   2.4616897379482228      -0.52593521691522671        1.4025734134291772        3.3383279344621730     
           5   1.5379585428832916      -0.50572985137473214        1.3753675412340864        2.4075962327426459     
           6   1.3817498626555837      -0.50604907779125763        1.3758015519885236        2.2515023368528500     
           7   2.2827710062124376      -0.53295291088473129        1.4118998609032791        3.1617179562309854     
           8   2.2984095218065863      -0.53295291088473129        1.4118998609032791        3.1773564718251341     
           9   2.2721273845608376      -0.53653095406963502        1.4166314121198360        3.1522278426110386     
          10   2.4531670901477209      -0.53653095406963502        1.4166314121198360        3.3332675481979219     
          11   2.1709360475331443      -0.53097256045029373        1.4092742455021166        3.0492377325849671     
          12   2.5786016038153714      -0.53955500788126842        1.4206180880960495        3.4596646840301526     
          13   2.3628730866247922      -0.53726969822924753        1.4176063495240152        3.2432097379195599     
          14   1.9531234980767236      -0.53726969822924753        1.4176063495240152        2.8334601493714913     
          15   1.7230593048871101      -0.53367762056958223        1.4128594859242720        2.6022411702418000     
          16   2.1513775119038900      -0.54049201567212435        1.4218510974999239        3.0327365937316895     
          17   1.9412374161085115      -0.52766938500383442        1.4048838656196816        2.8184518967243588     
          18   1.3494471251131834      -0.50714042856021935        1.3772842870544371        2.2195909836074010     
          19   1.7979066590436550      -0.52010222868338074        1.3947739693092940        2.6725783996695682     
          20   1.7983055084455082      -0.52010222868338074        1.3947739693092940        2.6729772490714216     
          21   2.2618249012596698      -0.53401483334980859        1.4133057844199013        3.1411158523297624     
          22   1.5865984328297258      -0.51567973098242681        1.3888313362789819        2.4597500381262809     
          23   1.6076229023668491      -0.51513101827437457        1.3880922416558705        2.4805841257483454     
          24   1.6453718772182002      -0.51600154099450424        1.3892646188919926        2.5186349551156884     
          25   1.8167710765778382      -0.51802480994450806        1.3919856436896259        2.6907319103229561     
          26   1.9189049143027466      -0.51892220609243322        1.3931908195851950        2.7931735277955081     
          27   1.7552605510500559      -0.50579289814173833        1.3754532685985599        2.6249209215068774     
          28   1.9107551573698907      -0.51605365021338001        1.3893347656461694        2.7840362728026800     
          29   1.7958697285534690      -0.51477328422128754        1.3876101758447461        2.6687066201769278     
          30   1.7345601352901685      -0.51072390936315415        1.3821417028878800        2.6059779288148945     
          31   2.1357460524328986      -0.51816671552974114        1.3921762880446731        3.0097556249478306     
          32   2.1743398604797810      -0.51825663220820684        1.3922970739170686        3.0483803021886429     
          33   1.9976996019136395      -0.51825663220820684        1.3922970739170686        2.8717400436225011     
          34   2.1415184608243827      -0.51825663220820684        1.3922970739170686        3.0155589025332445     
          35   2.1470004679152006      -0.51199963369334001        1.3838668346624559        3.0188676688843166     
          36   1.6467280311873780      -0.49733628246712747        1.3639063395224478        2.5132980882426983     
          37   1.6591244972794967      -0.49253647636800485        1.3573088340120345        2.5238968549235263     
          38   2.0407619022554839      -0.50214915639720448        1.3704899175508658        2.9091026634091453     
          39   2.3074196213168614      -0.50894200350224206        1.3797284632515521        3.1782060810661714     
          40   1.7948777867410921      -0.49373128490213725        1.3589541353667718        2.6601006372057268     
          41   2.0335534615151705      -0.49534437725609831        1.3611722761024996        2.8993813603615717     
          42   2.2105085019551862      -0.49894533400498231        1.3661109076093010        3.0776740755595049     
          43   2.2042006442751383      -0.50001568714920153        1.3675754345274931        3.0717603916534300     
          44   2.0214085592074733      -0.50001568714920153        1.3675754345274931        2.8889683065857650     
          45   1.5705268810680961      -0.49635540845337311        1.3625606900948692        2.4367321627095926     
          46   1.7026230458029248      -0.49502179552579728        1.3607289877174502        2.5683302379945774     
          47   1.8081223430288116      -0.49965603150105165        1.3670835052536459        2.6755498167814058     
          48   1.8853598577371742      -0.49965603150105165        1.3670835052536459        2.7527873314897686     
          49   1.8299578801845322      -0.49965603150105165        1.3670835052536459        2.6973853539371264     
          50   1.9530477911408883      -0.49965603150105165        1.3670835052536459        2.8204752648934823     
          51   1.9502608071832979      -0.49965603150105165        1.3670835052536459        2.8176882809358919     
          52   2.3542649036968619      -0.51005227233908546        1.3812325982642826        3.2254452296220588     
          53   2.3937467871077120      -0.51453312274137031        1.3872864514002179        3.2665001157665596     
          54   2.1996900453411512      -0.50961882561787064        1.3806455819714329        3.0707168016947133     
          55   1.9890708516060978      -0.50961882561787064        1.3806455819714329        2.8600976079596601     
          56   2.0309778671737568      -0.50950102105169770        1.3804859962711491        2.9019628423932082     
          57   2.2090310436478635      -0.50763005473195211        1.3779489863241745        3.0793499752400857     
          58   2.0744698261202070      -0.50763005473195211        1.3779489863241745        2.9447887577124296     
          59   2.1685555040649458      -0.50763005473195211        1.3779489863241745        3.0388744356571680     
          60   1.8432122979160472      -0.50763005473195211        1.3779489863241745        2.7135312295082699     
          61   2.0232706723545020      -0.50763005473195211        1.3779489863241745        2.8935896039467242     
          62   2.0800031283249099      -0.50987740134261350        1.3809958007435164        2.9511215277258129     
          63   2.6428219186824062      -0.52611034824748859        1.4028069156719554        3.5195184861068727     
          64   2.5577617899201477      -0.52150606958839252        1.3966550622518143        3.4329107825835696     
          65   2.1277143046150440      -0.50328579582843491        1.3720401266313409        2.9964686354179499     
          66   1.4581886665079260      -0.49312655398069022        1.3581216446930264        2.3231837572202623     
          67   1.7190097942675395      -0.49725205098347691        1.3637908354627866        2.5855485787468488     
          68   2.3954852835088940      -0.51632644888264800        1.3897019354161961        3.2688607700424424     
          69   2.1988318232764681      -0.51632644888264800        1.3897019354161961        3.0722073098100164     
          70   1.9773474375180224      -0.49809908089253219        1.3649518966464464        2.8442002532719366     
          71   2.2373921670187711      -0.50403254316648671        1.3730576275756430        3.1064172514279274     
          72   2.0858871664799663      -0.49780878063617823        1.3645540805771350        2.9526324664209231     
          73   1.9593594004379224      -0.49706346605019042        1.3635321992309453        2.8258281336186775     
          74   2.0490706033772197      -0.49706346605019042        1.3635321992309453        2.9155393365579743     
          75   2.3793700306965633      -0.50964854894184863        1.3806858441983307        3.2504073259530450     
          76   2.2430642909759944      -0.50558249417429302        1.3751671525529228        3.1126489493546243     
          77   1.8295512802420781      -0.48899681187417027        1.3524228193342651        2.6929772877021732     
          78   1.7185867857548958      -0.48899681187417027        1.3524228193342651        2.5820127932149903     
          79   1.7215079976490939      -0.48171785828813329        1.3423193463524179        2.5821094857133788     
          80   2.1128886673040306      -0.49334876977298192        1.3584276128904540        2.9779675104215029     
          81   2.1227497759205658      -0.49334876977298192        1.3584276128904540        2.9878286190380381     
          82   1.4952139611686410      -0.47459682856956115        1.3323609393071070        2.3529780719061870     
          83   1.4683659912582652      -0.48074107012837997        1.3409577329485007        2.3285826540783860     
          84   1.9832543549711470      -0.49301849369873441        1.3579728319313873        2.8482086932037998     
          85   2.0123016389153037      -0.49508668307159798        1.3608181670950961        2.8780331229388016     
          86   1.7794562599518216      -0.49508668307159798        1.3608181670950961        2.6451877439753195     
          87   2.1553474573485292      -0.51488714760788634        1.3877636310285744        3.0282239407692173     
          88   2.4907500733809189      -0.52719809541812979        1.4042563372272419        3.3678083151900311     
          89   1.8461212207118531      -0.51109160330708603        1.3826391474829580        2.7176687648877254     
          90   1.7256851650951071      -0.51109160330708603        1.3826391474829580        2.5972327092709788     
          91   2.0932478496423164      -0.51500131536607952        1.3879174793831299        2.9661640136593670     
          92   1.6212090117156492      -0.50471122810092295        1.3739817346152647        2.4904795182299910     
          93   1.7770942335213522      -0.50471122810092295        1.3739817346152647        2.6463647400356942     
          94   1.8982953804056231      -0.50471122810092295        1.3739817346152647        2.7675658869199649     
          95   1.5945858664638766      -0.48887939129112024        1.3522604340115165        2.4579669091842726     
          96   2.0318620394639271      -0.50259878900259880        1.3711033598552826        2.9003666103166110     
          97   1.8647473531967058      -0.50259878900259880        1.3711033598552826        2.7332519240493895     
          98   2.3730942619833018      -0.52128693597622167        1.3963615985283233        3.2481689245354035     
          99   2.4673156990660576      -0.53224569301369362        1.4109627684626449        3.3460327745150087     
         100   2.1577804150987459      -0.51773645956976733        1.3915981762891787        3.0316421318181570     
         101   1.5620027841415454      -0.49383151301896794        1.3590920631285348        2.4272633342511121     
         102   2.1305763922030669      -0.51160055286724104        1.3833273983586352        3.0023032376944609     
         103   1.9054531099928866      -0.50112540925100979        1.3690921745129110        2.7734198752547878     
         104   1.7993173950579024      -0.50379686054523865        1.3727365732478363        2.6682571077604997     
         105   1.6366994913349231      -0.50379686054523865        1.3727365732478363        2.5056392040375206     
         106   1.8083349934418453      -0.50475427246665383        1.3740403234756529        2.6776210444508441     
         107   1.6394941248715613      -0.50475427246665383        1.3740403234756529        2.5087801758805606     
         108   1.8437006932222739      -0.50475427246665383        1.3740403234756529        2.7129867442312730     
         109   1.8789596615748401      -0.50865118009188770        1.3793341995898500        2.7496426810728023     
         110   1.8314769437383358      -0.50492422725094988        1.3742716291677761        2.7008243456551622     
         111   1.6678749251554832      -0.50330283883215232        1.3720633574548735        2.5366354437782044     
         112   1.6765614651426799      -0.50330283883215232        1.3720633574548735        2.5453219837654011     
         113   1.8454841205921539      -0.50701030747387876        1.3771075852825128        2.7155813984007882     
         114   1.8783089302707772      -0.50701030747387876        1.3771075852825128        2.7484062080794112     
         115   1.9345266846273386      -0.50619370476627046        1.3759981374687149        2.8043311173297827     
         116   1.9609814848991987      -0.50708893465299942        1.3772143620931252        2.8311069123393242     
         117   2.3147167531078732      -0.52053524808585938        1.3953544691608437        3.1895359741828573     
         118   1.7065716473134898      -0.49362379271661450        1.3588061956816477        2.5717540502785230     
         119   2.0431816863888708      -0.49896517135046448        1.3661380646371708        2.9103545796755768     
         120   1.9669129709825455      -0.49896517135046448        1.3661380646371708        2.8340858642692517     
         121   2.2568797062216723      -0.49896517135046448        1.3661380646371708        3.1240525995083788     
         122   1.9662903780623484      -0.49944710906682366        1.3667976643369812        2.8336409333325063     
         123   1.8871478163878408      -0.50275660244901077        1.3713186026777557        2.7557098166165859     
         124   2.2976636577209821      -0.51393880338361375        1.3864850166827400        3.1702098710201083     
         125   2.0064586899319963      -0.49592075278096132        1.3619639660177036        2.8725019031687387     
         126   1.7578716642942143      -0.47737629125682224        1.3362567105412291        2.6167520835786213     
         127   1.6171717153545311      -0.47737629125682224        1.3362567105412291        2.4760521346389379     
         128   1.5013366223682842      -0.47737629125682224        1.3362567105412291        2.3602170416526911     
         129   1.3040850464893812      -0.47737629125682224        1.3362567105412291        2.1629654657737882     
         130   1.4536273457717181      -0.47737629125682224        1.3362567105412291        2.3125077650561252     
         131   1.7545364652812270      -0.47737629125682224        1.3362567105412291        2.6134168845656340     
         132   1.7839778581986729      -0.47737629125682224        1.3362567105412291        2.6428582774830796     
         133   1.6302579215902844      -0.47737629125682224        1.3362567105412291        2.4891383408746912     
         134   1.6943795477296211      -0.47621948005609338        1.3346366737224098        2.5527967413959374     
         135   2.0729566150197596      -0.49495137020985058        1.3606321907901813        2.9386374356000902     
         136   2.0087046818675067      -0.49277558209319255        1.3576382521876644        2.8735673519619787     
         137   2.4232761420973694      -0.50540731699910346        1.3749288939398208        3.2927977190380870     
         138   1.9313119291493936      -0.49455173619226672        1.3600827785189167        2.7968429714760434     
         139   2.0072711721481999      -0.49878141103214318        1.3658864788573264        2.8743762399733832     
         140   1.4906995049777552      -0.48707968508583582        1.3497691085111629        2.3533889284030822     
         141   1.5353142733813037      -0.48707968508583582        1.3497691085111629        2.3980036968066307     
         142   1.8530438557348619      -0.48707968508583582        1.3497691085111629        2.7157332791601889     
         143   1.6947251719923377      -0.48750148814889749        1.3503534210539385        2.5575771048973790     
         144   2.1165591810556039      -0.49515241004570576        1.3609084941985379        2.9823152652084359     
         145   2.3560172026291890      -0.50374492980672658        1.3726658214560348        3.2249380942784973     
         146   2.6013517667253905      -0.51431543266474544        1.3869929518858988        3.4740292859465440     
         147   1.7728919981538815      -0.49395781422129470        1.3592658511341658        2.6382000350667525     
         148   1.6951824771963444      -0.49510732614568004        1.3608465370537088        2.5609216881043730     
         149   1.7200292615556847      -0.49510732614568004        1.3608465370537088        2.5857684724637133     
         150   1.5173997457046755      -0.49510732614568004        1.3608465370537088        2.3831389566127044     
         151   1.5499903251230138      -0.49510732614568004        1.3608465370537088        2.4157295360310425     
         152   1.7266840379904926      -0.49510732614568004        1.3608465370537088        2.5924232488985215     
         153   2.0918263443631284      -0.50384417859928310        1.3728010374231068        2.9607832031869519     
         154   2.4328584489807445      -0.52010657817231609        1.3947798013755004        3.3075316721839290     
         155   2.3261984810160317      -0.51257659643778575        1.3846463418577313        3.1982682264359772     
         156   2.0341233438009807      -0.50802085814035602        1.3784792972777080        2.9045817829383327     
         157   1.9376455799990060      -0.50563275557586673        1.3752355055037933        2.8072483299269324     
         158   2.3344914271182087      -0.51720130286204691        1.3908787797415372        3.2081689039976986     
         159   2.3761991360790842      -0.51877577279034315        1.3929942352763927        3.2504175985651340     
         160   2.5623499511826804      -0.51877577279034315        1.3929942352763927        3.4365684136687298     
         161   2.1731780450210398      -0.51877577279034315        1.3929942352763927        3.0473965075070897     
         162   2.4911978569549111      -0.51781772913482638        1.3917073922219589        3.3650875200420440     
         163   2.3019367120625192      -0.51781772913482638        1.3917073922219589        3.1758263751496516     
         164   2.1035400314528765      -0.51027818422742033        1.3815384515437430        2.9748002987691988     
         165   2.1374091130484905      -0.50843010728402382        1.3790344200586362        3.0080134258231030     
         166   1.9119638008946032      -0.50565131542129504        1.3752607450911309        2.7815732305644389     
         167   1.7899222413916127      -0.50954387800815226        1.3805440552167598        2.6609224186002205     
         168   2.3147904516330100      -0.51841901298212789        1.3925151749079911        3.1888866135588732     
